word,phonemes,label
sacrifice,start S AE K,R
întâlniră,start IX N T IX L N IH,R
dimineților,start D IH M IH,N
folositei,start F,OH
gravitară,start,G
cerci,start CH EH,R
îmbunătățești,start IX M B UW N,AX
deliberam,start D EH L IH B,EH
autoritate,start AE UW,T
urinară,start UW R IH N,AE
garaje,start G AE,R
lituania,start L IH T,UW
beijing,start B,EH
narcotiza,start N AE R K OH T IH Z,AE
mulțumeați,start M UW L,UW
huso,start HH UW,S
întăritul,start IX N T AX R IH T UW,L
facilități,start F AE T SH IH L IH T AX T S,stop
șantaje,start SH AE N,T
masturbaseră,start M AE S T UW R B AE S EH,R
abandonași,start AE B AE N D OH,N
prezervativului,start P R EH Z EH R,V
bulgărește,start B UW L G AX,R
clădind,start K L AX D,IH
haotic,start HH,AE
capitale,start K AE P IH T,AE
controlară,start K OH N T R OH L AE R,AX
sexualii,start S EH K S,UW
calota,start,K
masculine,start M AE S,K
copleșitorilor,start K,OH
pilotaserăți,start P IH L OH T AE AE S EH,R
estoniană,start EH S T OH N IH AE N,AX
futute,start F,UW
delirează,start D EH L IH R EH,AE
negat,start,N
ating,start AE,T
privatizam,start P,R
abatem,start AE B AE T EH M,stop
multiplicam,start M UW L T IH P L IH K AE M,stop
secvență,start S EH K V EH N T S,AX
ce,start,CH
fetelor,start F,EH
hore,start HH OH R EH,stop
mele,start M,EH
farmacista,start F AE R M AE CH,IH
împărăteasă,start IX M P AX R AX T EH,AE
centrală,start CH EH N T DX AE,L
perfectați,start P EH R F EH,K
logam,start L,OH
ejaculație,start EH ZH AE K UW L,AE
veștejirăți,start V EH SH T EH ZH IH,R
implicat,start IH M P L IH K,AE
puț,start P,UW
șantajați,start SH AE N,T
caverno,start,K
crucificat,start K R UW CH IH F IH K AE,T
determinat,start D EH T EH R M IH,N
găoază,start G AX W AE Z,AX
masturbai,start,M
lipsitele,start L IH,P
zăpușirăți,start Z AX P UW SH IH R,AX
domin,start D OH M IH,N
băiețelul,start B AX,Y
exclame,start EH K,S
primitul,start P R IH,M
iubeau,start,Y
testat,start T EH S T,AE
veștejirăți,start,V
grăbiserăm,start,G
hrano,start HH R AE N,OH
spumai,start S P UW M AE,Y
excavaserăm,start EH K S K AE V AE S EH R AX M,stop
dedu,start D EH D UW,stop
suedeză,start S UW EH D EH Z,AX
custai,start,K
sămânță,start S AX M IX N,T
pilotă,start P IH L OH T AE AX,stop
gripă,start G R IH P AX,stop
parca,start P AE R,K
băiețașului,start B,AX
citeai,start T SH IH T Y,AE
iubească,start Y UW B EH AE,S
glanda,start G L AE N D,AE
franța,start F R AE,N
penisul,start,P
complexități,start OH M P L EH K,S
eventualitate,start EH V EH N T UW AE L IH T AE T EH,stop
adjectiv,start AE D ZH EH K T IH V,stop
gândise,start G IX N D IH S EH,stop
călătoriși,start K AX L AX,T
vomitai,start V OH M IH T AE,Y
iluzoriilor,start,IH
sodomizaserăți,start S OH D OH M IH,Z
copilul,start K,OH
găsitul,start,G
iubește,start Y UW B EH SH T EH,stop
modificai,start,M
suscite,start S UW S,CH
gorila,start G OH,R
aeroport,start AE EH DX,OH
mirandeză,start M IH R,AE
fișier,start,F
folositul,start F OH L,OH
dușmănesc,start D UW SH M AX N,EH
pornografului,start P OH R,N
mărturisite,start M AX R T UW R,IH
îmbunătățiți,start IX M B UW,N
substantive,start S UW B,S
primitele,start P R IH,M
ignoram,start,IH
eczema,start EH,K
zahărul,start Z AE HH AX,R
pilotai,start,P
omniprezență,start OH M N IH P R EH Z EH N,T
distrasem,start D IH S T,R
consolidam,start K OH N S OH L IH,D
visai,start,V
cenzurarăți,start CH EH N Z UW,R
fracturam,start F R AE K T UW,R
futeai,start,F
asurzii,start AE S,UW
întâlnitului,start,IX
picoliță,start P IH K OH L IH T S,AX
jachetă,start ZH AE K,EH
mersi,start,M
florin,start F L OH R IH,N
nemort,start N,EH
porneau,start P,OH
corn,start,K
limitezi,start L IH,M
rad,start R AE D,stop
familio,start F AE M IH,L
veștejești,start V EH SH T EH ZH EH,SH
urinai,start UW R IH,N
sodomist,start S OH D OH M IH S,T
gândeam,start G IX,N
capitulam,start K AE P IH T UW L,AE
plantat,start P L AE N,T
băiețaș,start B AX Y,EH
baleno,start B AE L EH,N
sugeai,start S UW JH EH AE,Y
azere,start AE Z EH R,EH
termine,start,T
damnez,start D,AE
analizasem,start AE N,AE
apocalipticele,start AE P OH K AE L IH P T IH CH EH,L
întărisem,start IX N,T
explicase,start EH K S P,L
sodomist,start S OH D OH M,IH
citita,start CH IH T IH T AE,stop
peștelui,start P EH SH T EH L,UW
nălucești,start N AX L UW T SH EH SH T,stop
nici,start N,IH
